Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
11,5,0.5016,5.016,3956.0,0.001263,0.996692,AADACL2 ARGFX C6orf48 SAYSD1 TAP2,"antigen processing and presentation of endogenous peptide antigen via MHC class I|antigen processing and presentation of endogenous peptide antigen|antigen processing and presentation of endogenous antigen|antigen processing and presentation of peptide antigen via MHC class I|antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",8.046e-06|9.879e-06|1.777e-05|0.0002404|0.0004854,0.1269|0.07792|0.09344|0.9481|1,484.6|433.6|316.8|82.38|4119
12,4,0.5463,3.278,3178.0,0.0010279999999999998,0.9929309999999999,AADACL3 C11orf52 C1QB WDTC1,synapse pruning|cell junction disassembly|negative regulation of fatty acid biosynthetic process|negative regulation of fatty acid metabolic process|regulation of fatty acid biosynthetic process,0.002328|0.002522|0.003104|0.007166|0.009289,1|1|1|1|1,468.1|429.1|343.2|143|109.5
13,26,0.6754,219.5,17550.0,0.012320000000000001,1.0,ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5,"retrograde transport, endosome to plasma membrane|vesicle-mediated transport|endosomal transport|vesicle-mediated transport to the plasma membrane|Arp2/3 complex-mediated actin nucleation",1.376e-14|6.052e-12|9.556e-12|1.583e-11|1.106e-10,2.171e-10|4.773e-08|5.024e-08|6.243e-08|3.49e-07,198|6.877|30.6|66.01|198
14,12,0.5154,34.02,9445.0,0.0035789999999999997,0.999986,AAED1 C9orf3 C9orf47 FBP1 FBP2 GNA14 MUSK NUTM2G TXNDC8 ZNF484 ZNF510 ZNF782,"sucrose biosynthetic process|sucrose metabolic process|disaccharide biosynthetic process|fructose 1,6-bisphosphate metabolic process|disaccharide metabolic process",1.864e-06|3.106e-06|6.518e-06|1.705e-05|2.416e-05,0.0294|0.02449|0.03427|0.06723|0.07622,1716|1144|686.5|381.4|312
15,19,0.5231,89.45,12340.0,0.0071730000000000006,1.0,AAGAB AGFG1 AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 C10orf88 CCDC32 CLTC DNM2 FCHO2 ITSN2 PICALM PPP6C RAB5C RALGAPB SH3GL1 TFRC,clathrin-dependent endocytosis|receptor-mediated endocytosis|endocytosis|receptor metabolic process|low-density lipoprotein particle receptor catabolic process,5.509e-21|2.934e-17|4.086e-17|1.636e-16|1.389e-15,8.69e-17|2.314e-13|2.149e-13|6.452e-13|4.383e-12,343.2|50.75|26.47|98.07|686.5
16,5,0.5012,5.012,3670.0,0.0013599999999999999,0.996692,AAK1 EIF3D THOC5 TOMM20 TOMM22,protein targeting to mitochondrion|protein transmembrane transport|establishment of protein localization to mitochondrion|protein localization to mitochondrion|protein import,7.749e-05|8.861e-05|0.0001369|0.000163|0.0005758,1|0.6989|0.7199|0.6428|1,147.1|137.3|109.8|100.5|52.81
17,4,0.5322,3.193,3342.0,0.0009524,0.9929309999999999,AAMDC CCPG1 CFAP126 SGTB,regulation of Rho guanyl-nucleotide exchange factor activity|positive regulation of chaperone-mediated protein folding|positive regulation of protein folding|regulation of chaperone-mediated protein folding|regulation of guanyl-nucleotide exchange factor activity,0.0005825|0.0005825|0.0009706|0.001165|0.001941,1|1|1|1|1,2574|2574|1287|1030|572.1
18,5,0.5155,5.155,3392.0,0.001513,0.996692,AAMP CHMP7 LEMD2 PDE2A ZNF574,protein localization to chromatin|mitotic nuclear envelope reassembly|mitotic nuclear membrane organization|nuclear envelope reassembly|nuclear membrane organization,1.411e-05|6.463e-05|6.463e-05|7.22e-05|8.295e-05,0.2225|0.5097|0.3398|0.2847|0.2617,358.2|161.5|161.5|152.6|142
19,5,0.5033,5.033,4226.0,0.001187,0.996692,AANAT EBPL NT5C RHBDF2 SNED1,IMP catabolic process|dGMP catabolic process|dGMP metabolic process|melatonin biosynthetic process|melatonin metabolic process,0.0004854|0.000728|0.000728|0.000728|0.000728,1|1|1|1|1,4119|2060|2060|2060|2060
20,7,0.5334,11.2,4516.0,0.002467,0.9992989999999999,AAR2 CD2BP2 DDX23 EAF1 ICE2 NCDN USPL1,RNA metabolic process|gene expression|spliceosomal tri-snRNP complex assembly|nucleic acid metabolic process|ribonucleoprotein complex assembly,1.448e-06|9.175e-06|1.037e-05|1.037e-05|2.756e-05,0.02284|0.07236|0.05452|0.0409|0.08694,11.04|8.075|452.6|7.909|46.45
21,20,0.4319,82.06,16880.0,0.0048270000000000006,1.0,AARD C8orf76 COL14A1 COLEC10 ENPP2 FAM83A FBXO32 GNPNAT1 GSDMC KLHL38 MTSS1 NETO2 NOV RGS22 RNF139 SLC22A4 SLC30A8 TRMT12 WDYHV1 ZHX2,chemotaxis|taxis|nephron tubule epithelial cell differentiation|smooth muscle cell proliferation|epithelial cell proliferation,0.0025|0.00255|0.003198|0.003198|0.004203,1|1|1|1|1,6.858|6.821|468.1|468.1|21.04
22,17,0.508,69.09,12060.0,0.005683,1.0,AARS CDT1 CENPT CFDP1 CIAPIN1 EXOSC6 GINS2 GINS3 KARS NIP7 NUP93 ORC6 SF3B3 SLC7A6OS TANGO6 UTP4 ZC3H18,DNA replication initiation|DNA-dependent DNA replication|DNA replication|nucleic acid metabolic process|DNA strand elongation involved in DNA replication,5.709e-06|1.374e-05|4.973e-05|0.0001106|0.0001176,0.09005|0.1083|0.2615|0.4363|0.3711,89.8|26.54|19|4.614|135.5
23,101,0.4645,2346.0,70210.0,0.03224,1.0,AARS2 DAP3 EARS2 FARS2 GADD45GIP1 GATB GATC GFM1 HARS2 KIAA0391 LARS2 LRPPRC MARS2 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL37 MRPL38 MRPL39 MRPL4 MRPL40 MRPL41 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL51 MRPL53 MRPL54 MRPL55 MRPL57 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS17 MRPS18A MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS27 MRPS31 MRPS35 MRPS5 MRPS6 MRPS7 MRPS9 MTG2 MTPAP NARS2 NSUN4 PNPT1 POLG POLG2 POLRMT PTCD1 PTCD3 QRSL1 RARS2 RPUSD4 SARS2 SLC25A26 SSBP1 SUPV3L1 TARS2 TFAM TFB1M TFB2M TRMT10C TRUB2 TWNK VARS2,mitochondrial gene expression|mitochondrial translation|mitochondrial translational elongation|mitochondrial translational termination|translation,4.099e-155|4.669e-141|1.413e-124|5.986e-122|2.15e-121,6.465e-151|3.682e-137|7.432e-121|2.361e-118|6.782e-118,120.2|137.4|153|149.1|43.32
24,4,0.5275,3.165,2980.0,0.001058,0.9929309999999999,AARSD1 CALCA GLTPD2 IGSF22,artery vasodilation involved in baroreceptor response to increased systemic arterial blood pressure|baroreceptor response to increased systemic arterial blood pressure|regulation of systemic arterial blood pressure by carotid sinus baroreceptor feedback|alanyl-tRNA aminoacylation|calcitonin gene-related peptide receptor signaling pathway,0.0003883|0.0005825|0.0005825|0.0007766|0.0007766,1|1|1|1|1,5149|2574|2574|1716|1716
25,4,0.5908,3.545,3217.0,0.001098,0.9929309999999999,AASDH CDK20 COBL TSPAN33,amino acid activation for nonribosomal peptide biosynthetic process|collateral sprouting in absence of injury|beta-alanine metabolic process|somite specification|collateral sprouting,0.0003883|0.0005825|0.0009706|0.001165|0.001553,1|1|1|1|1,5149|2574|1287|1030|735.5
26,9,0.5408,19.47,5873.0,0.0032939999999999996,0.9998530000000001,ACACA ACLY CHP1 FASN GPAT4 GPI SLC25A1 TMEM120B VKORC1L1,acyl-CoA metabolic process|thioester metabolic process|fatty-acyl-CoA biosynthetic process|purine ribonucleotide metabolic process|purine nucleoside bisphosphate metabolic process,6.653e-10|6.653e-10|1.454e-09|2.669e-09|3.073e-09,1.049e-05|5.247e-06|7.644e-06|1.052e-05|9.696e-06,106.2|106.2|265.7|39.35|77.42
27,14,0.5152,46.89,9615.0,0.004839,0.9999969999999999,AATF CDC6 DHX8 PSMB3 PSMD11 PSMD3 RPL17 RPL18 RPL18A RPL19 RPL23 RPL23A RPL27 ZNF830,SRP-dependent cotranslational protein targeting to membrane|cotranslational protein targeting to membrane|protein targeting to ER|establishment of protein localization to endoplasmic reticulum|viral transcription,2.111e-13|2.967e-13|5.593e-13|7.098e-13|7.524e-13,3.33e-09|2.34e-09|2.941e-09|2.799e-09|2.374e-09,107.3|102|92.77|89.54|88.77
28,9,0.5008,18.03,7514.0,0.002388,0.9998530000000001,AATK BAIAP2 DCXR LRRC45 PYCR1 RAC3 RFNG SLC25A10 SLC38A10,"positive regulation of cell morphogenesis involved in differentiation|modification of synaptic structure, modulating synaptic transmission|regulation of cell morphogenesis involved in differentiation|glucose metabolic process|D-xylose metabolic process",0.0006729|0.0009704|0.0009829|0.001396|0.00194,1|1|1|1|1,52.14|2060|42.91|35.82|686.5
29,5,0.5095,5.095,3874.0,0.00131,0.996692,ABCA1 KIF12 PIP5KL1 SYT6 TOR1B,signal release|positive regulation of high-density lipoprotein particle assembly|regulation of high-density lipoprotein particle assembly|sphingolipid translocation|apolipoprotein A-I-mediated signaling pathway,0.0006583|0.000728|0.0009706|0.001213|0.001456,1|1|1|1|1,49.33|2060|1373|1030|823.8
30,4,0.566,3.3960000000000004,3238.0,0.001045,0.9929309999999999,ABCA10 LAPTM5 NGFR ZNF609,activation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of cysteine-type endopeptidase activity|induction of programmed cell death|positive regulation of endopeptidase activity,0.0001203|0.0002727|0.0003385|0.0003883|0.0004604,1|1|1|1|1,113.2|74.62|66.87|5149|57.21
31,4,0.5039,3.023,3046.0,0.0009891,0.9929309999999999,ABCA12 CSRP2 JAG1 NRARP,tissue development|regulation of Notch signaling pathway|Notch signaling pathway|tube development|anatomical structure formation involved in morphogenesis,5.029e-05|0.0001623|0.0002004|0.0002658|0.0002939,0.7932|1|1|1|0.9271,11.89|97.15|87.27|18.37|17.75
32,4,0.561,3.366,3204.0,0.001047,0.9929309999999999,ABCA13 CAPN12 PI16 PRAM1,regulation of neutrophil degranulation|negative regulation of cell growth involved in cardiac muscle cell development|regulation of neutrophil activation|regulation of cell growth involved in cardiac muscle cell development|negative regulation of cardiac muscle tissue growth,0.001698|0.002667|0.00291|0.004604|0.006054,1|1|1|1|1,686.5|411.9|374.5|228.8|171.6
33,17,0.4533,61.65,13820.0,0.004432,1.0,ABCA2 AK8 ARRDC1 DPP7 ENTPD2 FAM69B GLT6D1 LCN10 LCN15 LCN6 LCN8 LHX3 NPDC1 PHPT1 RNF224 SARDH TUBB4B,negative regulation of ATP citrate synthase activity|regulation of ATP citrate synthase activity|peptidyl-histidine dephosphorylation|sarcosine catabolic process|negative regulation of cholesterol esterification,0.001649|0.001649|0.001649|0.001649|0.001649,1|1|1|1|1,1211|1211|1211|1211|1211
34,5,0.5428,5.428,3765.0,0.001436,0.996692,ABCA3 FLI1 FXYD6 KCNJ1 KCNJ5,potassium ion import across plasma membrane|transmembrane transport|regulation of ion transport|inorganic ion import across plasma membrane|inorganic cation import across plasma membrane,4.441e-05|7.408e-05|8.477e-05|0.0001669|0.0001669,0.7005|0.5842|0.4457|0.6582|0.5266,196.1|12.75|12.32|99.25|99.25
35,14,0.5119,46.58,9799.0,0.004718,0.9999969999999999,ALG14 ATP5PB BCAS2 CDC7 DDX20 DNTTIP2 HEATR3 PRPF38B RNPC3 RPAP2 RPF1 RPL5 SASS6 WDR3,RNA processing|nucleobase-containing compound metabolic process|heterocycle metabolic process|RNA metabolic process|cellular aromatic compound metabolic process,1.743e-06|2.592e-06|4.774e-06|5.252e-06|5.486e-06,0.0275|0.02045|0.0251|0.02071|0.01731,10.41|5.05|4.728|6.869|4.657
36,4,0.512,3.072,2952.0,0.001037,0.9929309999999999,ABCA6 NEIL3 OR4B1 PTPRJ,positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis|positive regulation of Fc receptor mediated stimulatory signaling pathway|regulation of Fc-gamma receptor signaling pathway involved in phagocytosis|detection of cell density|contact inhibition,0.001165|0.001553|0.001553|0.001941|0.001941,1|1|1|1|1,1030|735.5|735.5|572.1|572.1
37,61,0.4072,745.1,47210.0,0.0155,1.0,CBR1 CBR3 CHODL CLDN14 CLDN17 CLDN8 COL6A1 COL6A2 CRYZL1 DNAJC28 FAM243A HUNK IFNAR2 IFNGR2 IL10RB ITSN1 KCNJ6 KRTAP10-11 KRTAP10-3 KRTAP10-6 KRTAP10-8 KRTAP10-9 KRTAP11-1 KRTAP12-1 KRTAP12-3 KRTAP12-4 KRTAP13-1 KRTAP13-2 KRTAP13-3 KRTAP13-4 KRTAP15-1 KRTAP19-1 KRTAP19-2 KRTAP19-3 KRTAP19-4 KRTAP19-5 KRTAP19-6 KRTAP19-7 KRTAP19-8 KRTAP20-1 KRTAP20-2 KRTAP21-1 KRTAP21-2 KRTAP22-1 KRTAP24-1 KRTAP27-1 KRTAP6-1 KRTAP6-2 KRTAP8-1 MRAP OLIG1 OLIG2 PCBP3 SIM2 SON TCP10L TIAM1 TMEM50B TMPRSS2 TMPRSS3 TRPM2,keratinization|keratinocyte differentiation|epidermal cell differentiation|skin development|epidermis development,5.543e-45|8.717e-43|1.2e-40|3.893e-38|5.067e-37,8.744e-41|6.875e-39|6.31e-37|1.535e-34|1.599e-33,47.03|39.66|33.64|27.75|25.49
38,11,0.5007,27.54,8949.0,0.0030600000000000002,0.999969,ABCA8 CSH2 CSHL1 EPX GH2 LIMD2 METTL2B MIF4GD MYCBPAP PRR29 STRADA,growth hormone receptor signaling pathway|cellular response to growth hormone stimulus|response to growth hormone|positive regulation of receptor signaling pathway via JAK-STAT|positive regulation of receptor signaling pathway via STAT,1.993e-07|2.277e-07|9.45e-07|1.106e-06|1.481e-06,0.003143|0.001795|0.004969|0.004362|0.004672,280.8|267.5|160.5|151.8|137
39,4,0.5538,3.323,3210.0,0.001032,0.9929309999999999,ABCA9 ATP11A DLEC1 TMC3,aminophospholipid translocation|lipid transport|aminophospholipid transport|lipid localization|phospholipid translocation,0.001553|0.001845|0.001941|0.002199|0.009096,1|1|1|1|1,735.5|28.29|572.1|25.87|111.9
40,10,0.5137,23.12,7720.0,0.002978,0.999933,C6orf203 ENPP1 ENPP3 RAET1G RAET1L TAAR2 TAAR6 ULBP1 ULBP2 ULBP3,natural killer cell mediated cytotoxicity|natural killer cell mediated immunity|leukocyte mediated cytotoxicity|cell killing|natural killer cell activation,5.695e-10|7.618e-10|3.42e-09|2.551e-07|2.505e-06,8.983e-06|6.009e-06|1.798e-05|0.001006|0.007901,343.3|316.8|211.2|68.65|112.3
41,10,0.5057,22.75,7377.0,0.0030670000000000003,0.999933,ABCB10 ARHGAP11B CHRFAM7A CHRNA7 DEXI GOLGA6L6 GOLGA8H GOLGA8M GOLGA8R WHAMM,"synaptic transmission, cholinergic|excitatory postsynaptic potential|chemical synaptic transmission, postsynaptic|regulation of postsynaptic membrane potential|Golgi organization",4.104e-07|5.321e-06|6.341e-06|1.944e-05|4.662e-05,0.006473|0.04197|0.03334|0.07666|0.1471,216|87.76|82.6|56.17|41.61
42,8,0.5263,14.74,6456.0,0.0022719999999999997,0.9996790000000001,ABCB11 BBS5 CASP10 CRYGA CRYGB CRYGC CRYGD CXCR2,visual perception|sensory perception of light stimulus|lens development in camera-type eye|camera-type eye development|eye development,1.651e-08|1.806e-08|2.616e-08|6.935e-06|1.201e-05,0.0002604|0.0001425|0.0001375|0.02735|0.03788,52.97|52.01|120.4|28.78|25.01
43,4,0.6088,3.653,3124.0,0.001165,0.9929309999999999,ABCB4 HOMER1 NOVA1 PIP,response to fenofibrate|phospholipase C-activating G protein-coupled glutamate receptor signaling pathway|tissue homeostasis|cellular response to bile acid|response to bile acid,0.0004854|0.000728|0.001214|0.001456|0.001456,1|1|1|1|1,4119|2060|36.13|823.8|823.8
44,37,0.4219,281.0,29760.0,0.00933,1.0,ABCB5 ADCYAP1R1 AEBP1 AGR2 AGR3 DBNL DPY19L1 FKBP9 GCK GHRHR GSDME HOXA1 HOXA5 HOXA6 HOXA7 HOXA9 INMT KIAA0895 MTURN MYO1G NIPSNAP2 NME8 NPC1L1 NPY NUPR2 PHKG1 PKD1L1 POU6F2 PSPH SEPT14 SUMF2 UBE2D4 URGCP VWC2 WIPF3 ZNF713 ZNRF2,embryonic skeletal system morphogenesis|embryonic skeletal system development|lung goblet cell differentiation|lobar bronchus epithelium development|skeletal system morphogenesis,1.162e-06|3.973e-06|3.469e-05|5.197e-05|6.822e-05,0.01832|0.03133|0.1824|0.2049|0.2152,28.09|21.64|352.1|264|11.79
45,49,0.3687,433.5,38860.0,0.011009999999999999,1.0,AKR7A3 AMIGO1 AMY2A AMY2B CASQ2 CD101 CHIA CYB561D1 DENND2C FAM19A3 FAM69A FNDC7 GBP1 GBP5 GNAI3 GNAT2 GPR61 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 HAO2 HENMT1 HSD3B1 HSD3B2 INKA2 KCNA10 KCNA2 KCNA3 MOV10 NGF NRBF2 OVGP1 PHTF1 PNRC2 PPM1J PSRC1 PTPN22 RAP1A REG4 RHOC SLC22A15 SLC25A24 SLC6A17 SYPL2 TMEM56 TRIM45 UBL4B,nitrobenzene metabolic process|glutathione derivative biosynthetic process|glutathione derivative metabolic process|xenobiotic catabolic process|benzene-containing compound metabolic process,1.788e-09|4.261e-09|4.261e-09|4.587e-08|5.855e-07,2.821e-05|3.361e-05|2.241e-05|0.0001809|0.001847,429.1|97.51|97.51|143|68.65
46,4,0.5443,3.266,3252.0,0.001001,0.9929309999999999,ABCB9 ARL6IP4 PITPNM2 TRAFD1,antigen processing and presentation of endogenous peptide antigen via MHC class I|antigen processing and presentation of endogenous peptide antigen|antigen processing and presentation of endogenous antigen|intermembrane lipid transfer|negative regulation of innate immune response,0.003491|0.003878|0.005233|0.009482|0.01256,1|1|1|1|1,302.9|271|198|107.3|80.45
47,68,0.3936,896.6,52370.0,0.01679,1.0,ABCC6 ACSM1 ACSM2B ACSM3 ACSM5 AHSP BCKDK BFAR C16orf45 C16orf92 CA5A CCDC189 CHP2 CLN3 CORO7 DCTPP1 DOC2A FAM57B GDPD3 HIRIP3 HS3ST2 HSD3B7 IL21R ITGAD ITGAL ITGAM ITGAX LAT MARF1 METTL22 MPV17L MYH11 NFATC2IP NOMO1 NOMO2 NPIPA5 NPIPB6 PDZD9 PHKG2 PKD1 PLA2G10 PYCARD PYDC1 SBK1 SCNN1B SCNN1G SEPT1 SEPT12 SH2B1 SLC5A2 STX1B SULT1A1 SULT1A2 SYT17 TBX6 TMC7 USP31 VKORC1 YPEL3 ZG16 ZNF500 ZNF688 ZNF689 ZNF747 ZNF764 ZNF771 ZNF785 ZNF843,integrin-mediated signaling pathway|purine nucleoside bisphosphate metabolic process|ribonucleoside bisphosphate metabolic process|nucleoside bisphosphate metabolic process|long-chain fatty acid metabolic process,1.195e-06|6.461e-06|6.461e-06|6.461e-06|5.745e-05,0.01884|0.05096|0.03397|0.02548|0.1813,18.54|13.66|13.66|13.66|12.62
48,7,0.5195,10.91,5605.0,0.0019379999999999998,0.9992989999999999,ABCC10 HLA-DPA1 HLA-DPB1 OR14J1 OR2J2 OR2J3 ZNF76,positive regulation of interferon-gamma production|interferon-gamma-mediated signaling pathway|detection of chemical stimulus involved in sensory perception of smell|sensory perception of smell|detection of chemical stimulus involved in sensory perception,0.0002297|0.0002642|0.0003262|0.0003881|0.0004332,1|1|1|1|1,87.83|81.73|20.01|18.86|18.16
49,64,0.3497,705.1,51080.0,0.013580000000000002,1.0,ABCC11 ABCC12 ADGRG5 AGRP C16orf78 CA7 CALB2 CBLN1 CCDC102A CES1 CES2 CES3 CES4A CES5A CETP CHST5 CHST6 CKLF CLEC18A CLEC18B CLEC18C CMTM1 CPNE2 CTRB1 CTRB2 DRC7 DUS2 FUK GLG1 HP HSD11B2 HSF4 IRX5 IRX6 LCAT LDHD MMP15 MT1A MT1B MT1F MT1G MT1H MT1M MT1X MT2A MT4 MTSS1L NLRC5 NRN1L PARD6A PDP2 PDPR PDXDC1 PLA2G15 PLLP SHCBP1 TEPP TMED6 TMEM170A TPPP3 WWP2 ZDHHC1 ZNF19 ZNF23,detoxification of copper ion|stress response to copper ion|detoxification of inorganic compound|stress response to metal ion|cellular response to zinc ion,2.871e-17|2.871e-17|6.556e-17|9.638e-17|7.214e-16,4.529e-13|2.265e-13|3.447e-13|3.801e-13|2.276e-12,181|181|160.9|152.4|115.8
50,4,0.5825,3.495,3378.0,0.001031,0.9929309999999999,ABCC2 AP4E1 GDF11 TMEM184A,spinal cord anterior/posterior patterning|benzylpenicillin metabolic process|beta-lactam antibiotic metabolic process|bilirubin transport|mercury ion transport,0.0003883|0.0003883|0.0003883|0.0003883|0.0003883,1|1|1|1|1,5149|5149|5149|5149|5149
51,4,0.5586,3.352,3480.0,0.0009601000000000001,0.9929309999999999,ABCC3 ADPRHL1 BFSP1 PDZD3,glucuronoside transport|negative regulation of guanylate cyclase activity|canalicular bile acid transport|glycoside transport|protein de-ADP-ribosylation,0.0003883|0.0007766|0.0009706|0.001165|0.001359,1|1|1|1|1,5149|1716|1287|1030|858.1
